Date,Product_ID,Category,Region,Units_Sold,Sales
2020-01-01,1051,Electronics,North,32,7317.392108379211
2020-01-02,1092,Electronics,South,88,30839.301619579597
2020-01-03,1014,Electronics,East,80,3920.9570520355605
2020-01-04,1071,Electronics,South,11,3314.6157822768323
2020-01-05,1060,Clothing,South,96,28684.264569367435
2020-01-06,1020,Groceries,East,6,2071.632410010795
2020-01-07,1082,Electronics,North,35,6694.266834492046
2020-01-08,1086,Groceries,South,33,7590.002946612288
2020-01-09,1074,Groceries,South,18,3090.329348992198
2020-01-10,1074,Clothing,East,37,15022.090321532505
2020-01-11,1087,Electronics,East,13,961.990541430164
2020-01-12,1099,Clothing,East,74,35656.71035664146
2020-01-13,1023,Electronics,East,90,28896.27447868349
2020-01-14,1002,Clothing,East,81,36011.32789112546
2020-01-15,1021,Groceries,West,64,14006.618531183007
2020-01-16,1052,Electronics,East,1,172.81674449207836
2020-01-17,1001,Books,North,63,28435.40575852737
2020-01-18,1087,Groceries,South,89,5201.852789295564
2020-01-19,1029,Books,North,34,2291.006476877928
2020-01-20,1037,Groceries,North,10,1566.799204774919
2020-01-21,1001,Clothing,West,84,40344.33824950167
2020-01-22,1063,Electronics,East,7,2241.425331837317
2020-01-23,1059,Groceries,South,56,15767.075035126527
2020-01-24,1020,Clothing,North,80,28449.968385132488
2020-01-25,1032,Electronics,East,37,7938.813701697152
2020-01-26,1075,Electronics,East,29,11062.224455189556
2020-01-27,1057,Groceries,West,12,2432.1965040805203
2020-01-28,1021,Electronics,West,17,7053.60532985435
2020-01-29,1088,Groceries,West,48,6766.7803304393865
2020-01-30,1048,Electronics,South,84,12263.82049670668
2020-01-31,1090,Books,North,26,6915.163311136605
2020-02-01,1058,Clothing,West,83,18349.056310571767
2020-02-02,1041,Books,West,12,3930.921164394009
2020-02-03,1091,Groceries,West,21,3958.5518655911274
2020-02-04,1059,Books,North,42,5164.732357868149
2020-02-05,1079,Groceries,North,61,14652.577944569914
2020-02-06,1014,Electronics,West,58,16522.383715708896
